Date,Partner,Score,UX,Transaction Experience,Process Quality
11/20/2015,Y29DB8,4,Good,Good,Good
11/23/2015,Y29DB8,3,Good,Good,Improving
11/24/2015,Y29DB8,5,Good,Good,Good
11/25/2015,Y29DB8,4,Good,Good,Good
12/1/2015,P5QA3E,4,Good,Good,Good
12/1/2015,P5QA3E,5,Good,Good,Good
12/1/2015,P5QA3E,5,Good,Good,Good
12/1/2015,P5QA3E,5,Good,Good,Good
12/1/2015,P5QA3E,5,Good,Good,Good
12/2/2015,P5QA3E,5,Improving,Good,Good
12/2/2015,P5QA3E,5,Good,Good,Good
12/2/2015,P5QA3E,5,Good,Good,Good
12/3/2015,P5QA3E,4,Good,Good,Good
12/3/2015,P5QA3E,5,Good,Good,Good
12/3/2015,P5QA3E,5,Good,Good,Good
12/3/2015,P5QA3E,4,Good,Good,Good
12/3/2015,P5QA3E,5,Improving,Good,Good
12/4/2015,P5QA3E,5,Good,Good,Good
12/8/2015,68F7E4,5,Good,Good,Good
12/8/2015,68F7E4,4,Good,Improving,Improving
12/2/2015,QEQPNO,5,Good,Good,Good
12/4/2015,QEQPNO,5,Good,Good,Good
12/7/2015,QEQPNO,4,Good,Good,Good
12/7/2015,QEQPNO,3,Good,Good,Good
11/23/2015,35YE4S,5,Good,Good,Good
11/24/2015,35YE4S,5,Good,Good,Good
11/24/2015,35YE4S,3,Good,Good,Improving
11/24/2015,35YE4S,5,Good,Good,Good
11/30/2015,CMEJVQ,5,Improving,Good,Good
12/1/2015,CMEJVQ,5,Good,Good,Good
12/2/2015,CMEJVQ,5,Good,Good,Good
12/2/2015,CMEJVQ,5,Good,Good,Good
11/19/2015,TIA4D5,5,Good,Good,Good
11/19/2015,TIA4D5,5,Good,Good,Good
11/20/2015,TIA4D5,5,Good,Good,Good
11/20/2015,TIA4D5,5,Good,Good,Good
11/20/2015,TIA4D5,5,Good,Good,Good
11/23/2015,TIA4D5,4,Good,Good,Good
11/23/2015,TIA4D5,5,Good,Good,Good
11/23/2015,TIA4D5,5,Good,Good,Good
11/23/2015,TIA4D5,3,Improving,Good,Improving
11/23/2015,TIA4D5,4,Good,Improving,Good
11/24/2015,TIA4D5,5,Good,Good,Good
11/24/2015,TIA4D5,4,Good,Improving,Good
11/24/2015,TIA4D5,5,Good,Good,Good
11/24/2015,TIA4D5,4,Good,Improving,Good
11/24/2015,TIA4D5,5,Good,Good,Good
11/25/2015,TIA4D5,4,Good,Improving,Good
11/25/2015,TIA4D5,5,Good,Good,Good
11/30/2015,TIA4D5,5,Good,Good,Good
12/1/2015,TIA4D5,5,Good,Good,Good
12/3/2015,TIA4D5,2,Good,Improving,Improving
12/3/2015,TIA4D5,1,Improving,Improving,Improving
12/7/2015,TIA4D5,5,Good,Good,Good
11/20/2015,RGN5S7,5,Good,Good,Good
11/20/2015,RGN5S7,5,Good,Good,Good
11/20/2015,RGN5S7,5,Good,Good,Good
11/20/2015,RGN5S7,5,Good,Good,Good
11/23/2015,RGN5S7,4,Good,Good,Good
11/23/2015,RGN5S7,4,Improving,Good,Good
11/23/2015,RGN5S7,2,Improving,Good,Good
11/23/2015,RGN5S7,3,Good,Good,Good
11/23/2015,RGN5S7,2,Good,Improving,Improving
11/23/2015,RGN5S7,5,Good,Good,Good
11/23/2015,RGN5S7,5,Good,Good,Good
11/24/2015,RGN5S7,4,Good,Good,Good
11/23/2015,S333H9,5,Good,Good,Good
12/4/2015,S333H9,5,Good,Improving,Good
12/7/2015,S333H9,5,Good,Good,Good
11/12/2015,MTF4BS,5,Good,Good,Good
11/13/2015,MTF4BS,3,Good,Good,Improving
11/13/2015,3E62RY,5,Good,Good,Good
11/13/2015,3E62RY,5,Improving,Good,Good
11/16/2015,3E62RY,5,Good,Good,Good
11/23/2015,NNEFJ7,4,Good,Good,Good
11/27/2015,NNEFJ7,1,Improving,Improving,Good
11/13/2015,QXI6RH,4,Good,Good,Good
11/13/2015,QXI6RH,3,Improving,Good,Good
11/19/2015,QXI6RH,5,Good,Good,Good
11/12/2015,XO55ZB,4,Good,Good,Good
11/12/2015,XO55ZB,2,Good,Good,Improving
11/12/2015,XO55ZB,5,Good,Good,Good
11/15/2015,XO55ZB,5,Good,Good,Good
11/16/2015,XO55ZB,5,Good,Good,Good
11/17/2015,XO55ZB,5,Good,Good,Good
11/17/2015,XO55ZB,5,Good,Good,Good
11/20/2015,XO55ZB,5,Good,Good,Good
11/24/2015,XO55ZB,5,Good,Good,Good
11/26/2015,XO55ZB,5,Improving,Good,Good
11/27/2015,XO55ZB,5,Good,Good,Good
